subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,"Practise pronunciation of words with similar sounds that have different spellings (e.g., one/won, ewe/you)",Pronunciation practice: Practise pronunciation of words with similar sounds that have diff,3,Dictation,Kuwaongoza Wanafunzi,Students are able to practise pronunciation of words with similar sounds that have different spellings accurately and confidently.,Dictionary|Mirror for articulation practice|Audio recordings,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson focuses on helping students to practise pronunciation of words with similar sounds that have different spellings, building intelligible pronunciation and fluency in spoken English.","Students listen to a model (teacher or recording) pronouncing target words or sounds correctly, then practise through repetition, tongue twisters, games or dictation. Attention is paid to sound distinctions (minimal pairs), word stress, and vowel length, since these features change the meaning of words in English.","For example, students practise the minimal pair 'ship' and 'sheep', noting that the short vowel /ɪ/ in 'ship' differs from the long vowel /iː/ in 'sheep', and that mispronouncing one changes the meaning of the word.","Clear pronunciation helps learners communicate confidently and be understood correctly in conversations, interviews and presentations.","Give one pair of words that sound almost the same but have different meanings.::Any correct minimal pair, e.g. 'ship/sheep' or 'cat/cut'.||Why is word stress important in English pronunciation?::Because placing stress on the wrong syllable can change the meaning or make a word hard to understand.||What technique can a learner use to practise difficult sounds?::Repeating tongue twisters or words after a model speaker (drilling).",
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts,"Write new vocabulary from conversations and written texts on particular topics (e.g., politics, sports, tourism, agriculture)",Vocabulary building: Write new vocabulary from conversations and written texts on particul,7,Brainstorming,Kuwaongoza Wanafunzi,Students are able to write new vocabulary from conversations and written texts on particular topics accurately and confidently.,Flashcards|Dictionary|Word charts,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson helps students to write new vocabulary from conversations and written texts on particular topics, expanding their word bank for both oral and written communication.","Students identify new words from texts or conversations, work out their meanings from context, record them with definitions and example sentences, and use them actively in speaking and writing. Word-formation techniques such as adding prefixes and suffixes, and relationships such as synonyms and antonyms, are used to deepen understanding.","For example, from the word 'kind', students form the antonym 'unkind' by adding the prefix 'un-', and the adverb 'kindly' by adding the suffix '-ly', then use each new word in a sentence.","A wide vocabulary helps learners express themselves precisely when writing letters, telling stories, or discussing topics such as sports, tourism or agriculture.",Form the opposite of the word 'kind' by adding a prefix.::Unkind.||Change the adjective 'slow' into an adverb.::Slowly.||Use the word 'agriculture' in a sentence of your own.::Any grammatically correct sentence using 'agriculture' correctly.,
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts,Construct sentences using vocabulary acquired from conversations and written texts,Vocabulary building: Construct sentences using vocabulary acquired from conversations and,6,Word games,Kuwaongoza Wanafunzi,Students are able to construct sentences using vocabulary acquired from conversations and written texts accurately and confidently.,Dictionary|Word charts|Charades cards,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson helps students to construct sentences using vocabulary acquired from conversations and written texts, expanding their word bank for both oral and written communication.","Students identify new words from texts or conversations, work out their meanings from context, record them with definitions and example sentences, and use them actively in speaking and writing. Word-formation techniques such as adding prefixes and suffixes, and relationships such as synonyms and antonyms, are used to deepen understanding.","For example, from the word 'kind', students form the antonym 'unkind' by adding the prefix 'un-', and the adverb 'kindly' by adding the suffix '-ly', then use each new word in a sentence.","A wide vocabulary helps learners express themselves precisely when writing letters, telling stories, or discussing topics such as sports, tourism or agriculture.",Form the opposite of the word 'kind' by adding a prefix.::Unkind.||Change the adjective 'slow' into an adverb.::Slowly.||Use the word 'agriculture' in a sentence of your own.::Any grammatically correct sentence using 'agriculture' correctly.,
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts,"Play vocabulary building games using digital and non-digital resources (e.g., word board games, charades, picture games, flash cards)",Vocabulary building: Play vocabulary building games using digital and non-digital resource,6,Group work,Kuwaongoza Wanafunzi,Students are able to play vocabulary building games using digital and non-digital resources accurately and confidently.,Word charts|Charades cards|Flashcards,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson helps students to play vocabulary building games using digital and non-digital resources, expanding their word bank for both oral and written communication.","Students identify new words from texts or conversations, work out their meanings from context, record them with definitions and example sentences, and use them actively in speaking and writing. Word-formation techniques such as adding prefixes and suffixes, and relationships such as synonyms and antonyms, are used to deepen understanding.","For example, from the word 'kind', students form the antonym 'unkind' by adding the prefix 'un-', and the adverb 'kindly' by adding the suffix '-ly', then use each new word in a sentence.","A wide vocabulary helps learners express themselves precisely when writing letters, telling stories, or discussing topics such as sports, tourism or agriculture.",Form the opposite of the word 'kind' by adding a prefix.::Unkind.||Change the adjective 'slow' into an adverb.::Slowly.||Use the word 'agriculture' in a sentence of your own.::Any grammatically correct sentence using 'agriculture' correctly.,
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks,"Express ideas or opinions in contextualised oral and written language tasks using proper grammar and vocabulary (e.g hospital, market, library, bus stop, sport and games)",Grammar and vocabulary: Express ideas or opinions in contextualised oral and written langu,6,Discussion,Kuwaongoza Wanafunzi,Students are able to express ideas or opinions in contextualised oral and written language tasks using proper grammar and vocabulary accurately and confidently.,Grammar charts|Sample sentences|Realia,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson guides students to express ideas or opinions in contextualised oral and written language tasks using proper grammar and vocabulary, using correct grammatical structures and appropriate vocabulary.","Students study the target grammatical structure through examples, identify how it is formed, and practise it by constructing their own sentences orally and in writing. Feedback from peers and the teacher helps students correct errors in tense, agreement, word order and vocabulary choice.","For example, when practising past and present tense forms, a student changes 'She writes a letter every day' (present) to 'She wrote a letter yesterday' (past), noting the change in the verb form.","Accurate grammar allows learners to be clearly understood when narrating events, debating issues or writing formal and informal texts.",Change the sentence 'He writes a story' into the past tense.::He wrote a story.||Identify the subject and verb in the sentence 'The students are discussing the topic.'::Subject: The students; Verb: are discussing.||Correct the error in this sentence: 'She go to school every day.'::She goes to school every day.,
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks,"Construct sentences using appropriate grammar and vocabulary relating to a specific context (structure: tenses – simple past, simple present, articles, present progressive, pronouns, coordinators, prepositions, adjectives, adverbs)",Grammar and vocabulary: Construct sentences using appropriate grammar and vocabulary relat,5,Debate,Kuwaongoza Wanafunzi,Students are able to construct sentences using appropriate grammar and vocabulary relating to a specific context accurately and confidently.,Sample sentences|Realia|Worksheet,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson guides students to construct sentences using appropriate grammar and vocabulary relating to a specific context, using correct grammatical structures and appropriate vocabulary.","Students study the target grammatical structure through examples, identify how it is formed, and practise it by constructing their own sentences orally and in writing. Feedback from peers and the teacher helps students correct errors in tense, agreement, word order and vocabulary choice.","For example, when practising past and present tense forms, a student changes 'She writes a letter every day' (present) to 'She wrote a letter yesterday' (past), noting the change in the verb form.","Accurate grammar allows learners to be clearly understood when narrating events, debating issues or writing formal and informal texts.",Change the sentence 'He writes a story' into the past tense.::He wrote a story.||Identify the subject and verb in the sentence 'The students are discussing the topic.'::Subject: The students; Verb: are discussing.||Correct the error in this sentence: 'She go to school every day.'::She goes to school every day.,
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks,Debate on topics using proper grammar and vocabulary,Grammar and vocabulary: Debate on topics using proper grammar and vocabulary,5,Guided writing,Kuwaongoza Wanafunzi,Students are able to debate on topics using proper grammar and vocabulary accurately and confidently.,Realia|Worksheet|Grammar charts,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson guides students to debate on topics using proper grammar and vocabulary, using correct grammatical structures and appropriate vocabulary.","Students study the target grammatical structure through examples, identify how it is formed, and practise it by constructing their own sentences orally and in writing. Feedback from peers and the teacher helps students correct errors in tense, agreement, word order and vocabulary choice.","For example, when practising past and present tense forms, a student changes 'She writes a letter every day' (present) to 'She wrote a letter yesterday' (past), noting the change in the verb form.","Accurate grammar allows learners to be clearly understood when narrating events, debating issues or writing formal and informal texts.",Change the sentence 'He writes a story' into the past tense.::He wrote a story.||Identify the subject and verb in the sentence 'The students are discussing the topic.'::Subject: The students; Verb: are discussing.||Correct the error in this sentence: 'She go to school every day.'::She goes to school every day.,
2023-JSS014-Kidato I,Comprehend oral and written information,Read texts for comprehension,Sequence the order of events in stories,Reading comprehension: Sequence the order of events in stories,6,Close reading,Kuwaongoza Wanafunzi,Students are able to sequence the order of events in stories accurately and confidently.,Reader/class text|Newspaper articles|Story cards,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",This lesson develops students' ability to sequence the order of events in stories by engaging closely with written texts.,"Students read a passage silently or aloud, identify key information such as main ideas, sequence of events, facts versus opinions, or the writer's intended meaning, and then respond to comprehension questions orally or in writing. Strategies such as skimming for the main idea, scanning for details, and using context clues to infer meaning are practised.","For example, after reading a short story, students list the events in the order they happened using sequence words such as 'first', 'then', 'after that' and 'finally', before writing a short summary.","These reading skills help learners understand newspapers, notices, textbooks and other texts they meet outside the classroom.","Name two sequence words used to show the order of events in a story.::Any two of: first, then, after that, finally, next.||What is the difference between a fact and an opinion?::A fact can be proven true, while an opinion is a personal belief or judgement.||Explain one strategy for finding the meaning of an unfamiliar word in a text.::Using context clues, such as the surrounding words, to guess the meaning.",
2023-JSS014-Kidato I,Comprehend oral and written information,Read texts for comprehension,Make a summary of stories,Reading comprehension: Make a summary of stories,6,Discussion,Kuwaongoza Wanafunzi,Students are able to make a summary of stories accurately and confidently.,Newspaper articles|Story cards|Worksheet,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",This lesson develops students' ability to make a summary of stories by engaging closely with written texts.,"Students read a passage silently or aloud, identify key information such as main ideas, sequence of events, facts versus opinions, or the writer's intended meaning, and then respond to comprehension questions orally or in writing. Strategies such as skimming for the main idea, scanning for details, and using context clues to infer meaning are practised.","For example, after reading a short story, students list the events in the order they happened using sequence words such as 'first', 'then', 'after that' and 'finally', before writing a short summary.","These reading skills help learners understand newspapers, notices, textbooks and other texts they meet outside the classroom.","Name two sequence words used to show the order of events in a story.::Any two of: first, then, after that, finally, next.||What is the difference between a fact and an opinion?::A fact can be proven true, while an opinion is a personal belief or judgement.||Explain one strategy for finding the meaning of an unfamiliar word in a text.::Using context clues, such as the surrounding words, to guess the meaning.",
2023-JSS014-Kidato I,Comprehend oral and written information,Read texts for comprehension,Retell stories,Reading comprehension: Retell stories,6,Pair work,Kuwaongoza Wanafunzi,Students are able to retell stories accurately and confidently.,Story cards|Worksheet|Reader/class text,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",This lesson develops students' ability to retell stories by engaging closely with written texts.,"Students read a passage silently or aloud, identify key information such as main ideas, sequence of events, facts versus opinions, or the writer's intended meaning, and then respond to comprehension questions orally or in writing. Strategies such as skimming for the main idea, scanning for details, and using context clues to infer meaning are practised.","For example, after reading a short story, students list the events in the order they happened using sequence words such as 'first', 'then', 'after that' and 'finally', before writing a short summary.","These reading skills help learners understand newspapers, notices, textbooks and other texts they meet outside the classroom.","Name two sequence words used to show the order of events in a story.::Any two of: first, then, after that, finally, next.||What is the difference between a fact and an opinion?::A fact can be proven true, while an opinion is a personal belief or judgement.||Explain one strategy for finding the meaning of an unfamiliar word in a text.::Using context clues, such as the surrounding words, to guess the meaning.",
2023-JSS014-Kidato I,Comprehend oral and written information,Comprehend oral messages with increasing difficulty,Paraphrase various oral messages from different contexts,Listening task: Paraphrase various oral messages from different contexts,6,Pair work,Kuwaongoza Wanafunzi,Students are able to paraphrase various oral messages from different contexts accurately and confidently.,Flashcards|Worksheet|Audio recordings,"TET(2023), ENGLISH LANGUAGE SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","This lesson helps students to paraphrase various oral messages from different contexts after listening to spoken texts such as presentations, stories or recordings. Strong listening comprehension is the foundation for accurate spoken and written responses.","Students listen attentively to an oral text (a presentation, recording, or teacher narration), note down key words and ideas, and then use these notes to respond, summarise or paraphrase what they heard. Emphasis is placed on listening for gist first, then for specific details, before producing an accurate spoken or written response.","For example, after listening to a short recorded story about a market day, students identify who the characters are, what happened first, next and last, and then retell the story in their own words to a partner.","This skill helps learners follow announcements, instructions and conversations correctly in everyday situations such as at school, at home or on the radio.",What should a listener do before trying to answer questions about a spoken text?::Listen attentively for the overall meaning (gist) before focusing on specific details.||Why is note-taking useful while listening?::It helps the listener remember key ideas to use when responding or summarising.||State one way to check that you understood a spoken message correctly.::Restate or paraphrase the message back to the speaker to confirm understanding.,
