subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of the concept of History and sources of historical information,Describe the concept of History and the sources of historical information,The Concept and Sources of History,12,Discussion,Kuwaongoza Wanafunzi,Students accurately define the concept of History and correctly classify sources of historical information as primary or secondary.,historical charts|timelines|sample primary source documents|photographs,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","History is the systematic study of past human events, actions and experiences, and of how they have shaped societies over time.","Historians reconstruct the past using primary sources, such as eyewitness accounts, artefacts, official records and oral traditions, and secondary sources, such as textbooks and journal articles written afterwards by people who did not witness the events. Reliable History requires comparing several sources and checking each one for bias, authenticity and accuracy before drawing conclusions.",The 1959 discovery of early hominid fossils at Olduvai Gorge in Tanzania by Louis and Mary Leakey is a primary archaeological source that reshaped scientific understanding of human origins.,"Learning to judge the reliability of sources helps students evaluate news, social media posts and rumours critically in everyday life.","What is History::History is the systematic study of past human events and how they shaped society||Give one example of a primary source::An eyewitness account, official record or artefact from the time of the event||Why must historians compare multiple sources::To check for bias, accuracy and reliability before drawing conclusions",
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of theories of the origin of human beings,Describe the theories of the origin of human beings,Theories on the Origin of Human Beings,9,Storytelling,Kuwaongoza Wanafunzi,Students correctly outline the main theories explaining the origin of human beings and identify the evidence each relies on.,charts of theories|religious texts excerpts|pictures of fossil evidence|journal articles,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","There are several theories about how human beings came into existence, including religious/creation theories and the scientific theory of evolution.","Creation theories, found in religions such as Christianity and Islam, hold that human beings were specially created by a supreme being. The scientific theory of evolution, associated with Charles Darwin, argues that human beings evolved gradually over millions of years from earlier primate ancestors through a process of natural selection, a view supported by fossil and archaeological evidence found mainly in East Africa.",Fossils of early hominids such as Australopithecus afarensis (the 'Lucy' skeleton found in Ethiopia in 1974) are used by scientists as evidence supporting the evolution theory.,Understanding different theories of human origin helps students respect diverse religious and scientific viewpoints in their communities.,"Name two main theories of the origin of human beings::The creation (religious) theory and the evolution theory||Who is associated with the theory of evolution::Charles Darwin||Where was the 'Lucy' fossil skeleton discovered::In Ethiopia, East Africa",
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of theories of the origin of human beings,Describe the stages of human evolution and their technological Ages,Stages of Human Evolution and Technological Ages,9,Research,Kuwaongoza Wanafunzi,Students correctly sequence the stages of human evolution and match each stage with its corresponding technological age.,evolution chart|pictures of stone and iron tools|timeline poster,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Human evolution passed through several physical stages, from early ape-like ancestors to modern humans, each associated with a particular level of tool-making technology.","Key stages include Australopithecus, Homo habilis ('handy man', the first tool user), Homo erectus (who used fire and more advanced tools) and Homo sapiens (modern humans). These stages correspond to technological ages: the Old Stone Age (Palaeolithic, simple chipped stone tools), Middle and Late Stone Age (finer tools), and later the Iron Age, when people learned to smelt and use iron for tools and weapons.","Homo habilis remains found at Olduvai Gorge in Tanzania are linked with simple pebble tools, marking the beginning of the Stone Age.","The move from stone to iron tools shows how technological improvement increases production, just as modern technology increases efficiency today.",Which hominid is regarded as the first tool user::Homo habilis||Name the technological age that followed the Stone Age::The Iron Age||Where in Tanzania were early Homo habilis remains found::Olduvai Gorge,
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of colonial systems in Africa,Assess the nature and patterns of colonial social services in Africa,Colonial Social Services in Africa,7,Discussion,Kuwaongoza Wanafunzi,Students assess the nature and distribution of colonial social services and identify their discriminatory patterns.,pictures of colonial mission schools|charts on colonial hospitals|maps showing service distribution,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Colonial governments provided limited social services such as education and health care, mainly to support colonial administration and the settler population.","Education was largely provided by Christian missionary societies, focusing on basic literacy, religious instruction and training of low-level clerks and artisans needed by the colonial administration, with very few Africans reaching higher education. Health services, including hospitals and dispensaries, were concentrated in urban centres and areas with European settlers or economic interests, leaving rural African populations underserved.","Mission schools, such as those built by the Universities' Mission to Central Africa in Tanganyika, were among the few providers of Western-style education for Africans during colonial rule.",The uneven distribution of schools and hospitals inherited from colonial rule still shapes disparities between urban and rural social services today.,Who mainly provided colonial education in Africa::Christian missionary societies||Where were colonial health services mostly concentrated::In urban centres and settler areas||What was the main aim of colonial social services::To support colonial administration and settler interests,
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of colonial systems in Africa,"Relate colonial economic, political, infrastructure, and education systems in Africa with the current African systems (focusing on similarities and differences)",Colonial Legacies in Modern African Systems,7,Discussion,Kuwaongoza Wanafunzi,"Students correctly identify similarities and differences between colonial and current African economic, political, infrastructural and education systems.",comparison chart|maps of colonial and modern infrastructure|pictures of colonial and modern schools,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Many features of present-day African economic, political, infrastructural and education systems have their roots in the colonial period.","Similarities include continued reliance on exporting raw agricultural and mineral products, use of colonial-era administrative boundaries that still define many African countries, and railway and port infrastructure built during colonial rule that remains in use. Differences include the shift from foreign colonial rule to independent African governments, the massive expansion of education access to the general population, and the growth of modern industries and services largely absent under colonialism.","The Tanzania-Zambia Railway (TAZARA), though built after independence, connects to a transport network whose colonial-era core lines, such as the Central Line, still carry much of Tanzania's trade today.",Students can observe colonial-era infrastructure such as old railway lines and government buildings still functioning in their own towns today.,Name one similarity between colonial and current African economic systems::Both rely on exporting raw agricultural or mineral products||Name one difference in education between colonial and current times::Education access has expanded greatly to the general population today||Give an example of colonial-era infrastructure still used in Tanzania::The Central Railway Line,
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the history of nationalist movements in Africa,Describe nationalist movements in Africa,Nationalist Movements in Africa,11,Storytelling,Kuwaongoza Wanafunzi,Students correctly describe the formation and goals of key nationalist movements in Africa.,pictures of nationalist leaders|maps of independence dates|party flags and symbols,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Nationalist movements were organisations formed by Africans to demand self-rule and independence from colonial powers.,"In Tanganyika, the Tanganyika African National Union (TANU) was founded in 1954 under the leadership of Julius Kambarage Nyerere, uniting Tanganyikans in the struggle for independence achieved in 1961. Similar movements arose elsewhere, such as the African National Congress (ANC) in South Africa and the Kenya African Union in Kenya, all seeking to end colonial domination and establish African self-government.","TANU, led by Julius Nyerere, successfully organised mass support that led Tanganyika to independence on 9 December 1961.",Julius Nyerere is honoured today as the Father of the Nation in Tanzania because of his leadership of the independence movement.,What does TANU stand for::Tanganyika African National Union||Who founded and led TANU::Julius Kambarage Nyerere||In what year did Tanganyika gain independence::1961,
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the history of nationalist movements in Africa,Assess the rise of nationalist movements in Africa,Causes of the Rise of Nationalist Movements,11,Debate,Kuwaongoza Wanafunzi,Students assess and correctly distinguish between internal and external factors that led to the rise of nationalist movements in Africa.,charts of causes|pictures of returning WWII soldiers|Atlantic Charter excerpt,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Nationalist movements arose in Africa due to a combination of internal grievances against colonial rule and external influences from world events.,"Internal factors included forced labour, heavy taxation, land alienation and racial discrimination under colonial rule. External factors included the influence of Pan-Africanism, the experience of African soldiers who fought in World War II and returned with new political awareness, and the 1941 Atlantic Charter, which promoted the right of peoples to choose their own government, later reinforced by the United Nations Charter.","African soldiers who served in World War II, including many Tanganyikans in the King's African Rifles, returned home with new ideas about freedom that fuelled nationalist movements.",The principle of self-determination promoted by the Atlantic Charter continues to influence how nations relate to one another internationally today.,"Name one internal cause of African nationalism::Forced labour (or taxation, land alienation, racial discrimination)||Which world event influenced African soldiers to demand political change::World War II||What 1941 document promoted the right of peoples to choose their government::The Atlantic Charter",
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the history of nationalist movements in Africa,Appraise the lessons drawn from the nationalist movements in Africa,Lessons from African Nationalist Movements,10,Discussion,Kuwaongoza Wanafunzi,Students appraise and clearly state the key lessons that present-day African nations can learn from the nationalist movements.,charts of key lessons|pictures of unity celebrations|newspaper articles,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",The experience of nationalist movements in Africa offers important lessons for building strong and united nations today.,"Key lessons include the value of unity across ethnic and religious lines in achieving common goals, the importance of strong and visionary leadership, the power of mass mobilisation and peaceful negotiation as tools for change, and the need for continued vigilance to protect hard-won independence and democratic governance.",TANU's success in uniting more than 120 ethnic groups in Tanganyika under one national movement is often cited as a model of unity in the independence struggle.,The spirit of unity learned from nationalist movements continues to guide efforts to maintain peace and cohesion in Tanzania today.,Name one lesson learned from African nationalist movements::The value of unity across ethnic and religious lines||Why is strong leadership considered important in nationalist movements::It helps mobilise and direct people towards common goals||How many ethnic groups did TANU unite in Tanganyika::More than 120,
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate mastery of the history of nation-building in post-colonial Africa,Describe the concept and origin of nation-building in Africa,The Concept and Origin of Nation-Building,15,Discussion,Kuwaongoza Wanafunzi,Students accurately explain the concept of nation-building and describe how it originated in post-colonial Africa.,national flags and symbols|charts on nation-building|pictures of independence celebrations,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Nation-building is the process of forging a united nation out of a country's diverse ethnic, religious and regional groups, sharing a common identity and purpose.","Nation-building in Africa emerged after independence in the 1960s, as new governments faced the challenge of uniting people who had different languages, cultures and colonial-drawn borders. In Tanzania, President Julius Nyerere promoted the use of Kiswahili as a unifying national language and encouraged a shared sense of Tanzanian identity beyond ethnic loyalty.",The promotion of Kiswahili as Tanzania's national language after independence is a leading example of a deliberate nation-building strategy in Africa.,"The strong sense of national unity in Tanzania today, compared with some neighbouring countries, is often credited to these early nation-building efforts.",What is nation-building::The process of forging a united nation from diverse ethnic and regional groups||When did nation-building efforts begin in most African countries::After independence in the 1960s||What language did Nyerere promote to unite Tanzania::Kiswahili,
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate mastery of the history of nation-building in post-colonial Africa,Evaluate the strategies used in nation-building,Strategies Used in Nation-Building,15,Debate,Kuwaongoza Wanafunzi,Students evaluate the effectiveness of different strategies used by African governments to build unified nations.,charts of nation-building strategies|pictures of Ujamaa villages|national symbols,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",African governments used several strategies to build unity and a shared national identity among their diverse populations after independence.,"Common strategies included promoting a common national language, such as Kiswahili in Tanzania, adopting national symbols like flags and anthems, establishing single-party systems to reduce ethnic-based political competition, and implementing shared development policies such as Tanzania's Ujamaa villagisation and Education for Self-Reliance under the 1967 Arusha Declaration.","Tanzania's Ujamaa policy, launched through the Arusha Declaration of 1967, combined economic development with efforts to build a socialist, united nation.","National symbols such as the Tanzanian flag and national anthem, used in schools today, are direct products of these nation-building strategies.","Name one strategy used for nation-building in Tanzania::Promoting Kiswahili as a national language (or Ujamaa, national symbols)||In what year was the Arusha Declaration issued::1967||What educational policy accompanied Ujamaa::Education for Self-Reliance",
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate an understanding of the successes and challenges of nation-building in post-colonial Africa,Appraise the achievements and challenges of nation-building in post-colonial Africa,Achievements and Challenges of Nation-Building,15,Debate,Kuwaongoza Wanafunzi,Students appraise the achievements and challenges of nation-building in post-colonial African countries with balanced evidence.,newspaper reports|charts of achievements and challenges|maps of African conflicts,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Nation-building in post-colonial Africa has produced notable achievements, but it has also faced serious challenges in many countries.","Achievements include relative peace and political stability in countries such as Tanzania and Botswana, rising literacy rates, and growth of shared national identities. Challenges include ethnic and political conflicts, such as the 1994 Rwanda genocide, frequent military coups in some West African states, corruption, and economic inequality, all of which have undermined unity and development efforts.","The 1994 Rwanda genocide, in which extremist violence along ethnic lines killed hundreds of thousands of people, stands as a tragic example of the failure of nation-building in parts of Africa.",Tanzania's long record of peace since independence is often held up as a positive nation-building achievement compared with some neighbouring countries.,"Name one achievement of nation-building in post-colonial Africa::Relative peace and political stability in countries like Tanzania||Name one challenge that has undermined nation-building in Africa::Ethnic conflict (or coups, corruption)||In what year did the Rwanda genocide occur::1994",
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate an understanding of the successes and challenges of nation-building in post-colonial Africa,Design and carry out a project on nation-building between the 1960s and 1970s (use one African country as a case study),"Project: Nation-Building in Tanzania, 1960s-1970s",15,Research,Kuwaongoza Wanafunzi,Students design and complete a well-researched project report on nation-building in Tanzania during the 1960s and 1970s.,Arusha Declaration document|library and internet sources|data collection tools,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","A project on nation-building requires students to investigate, using a real African country as a case study, how a nation was built during the 1960s and 1970s.","Using Tanzania as a case study, students research key events such as the union of Tanganyika and Zanzibar in 1964 to form the United Republic of Tanzania, the Arusha Declaration of 1967 which launched the Ujamaa policy, and villagisation programmes of the early 1970s. Students collect information from books, newspapers and online sources, analyse it, and write a report presenting their findings on the successes and limitations of these nation-building efforts.","The 1964 union of Tanganyika and Zanzibar, forming the United Republic of Tanzania, is a key case study event for a project on nation-building.","Union Day, celebrated on 26 April each year in Tanzania, commemorates this nation-building milestone that students can research directly.","In what year did Tanganyika and Zanzibar unite::1964||What policy did the Arusha Declaration of 1967 launch::The Ujamaa (socialism and self-reliance) policy||What day is celebrated to commemorate the union::Union Day, 26 April",
2023-JSS019-Kidato IV,Demonstrate mastery of the history of Africa's participation in regional and international affairs,Demonstrate an understanding of the regional integration in Africa,"Describe the origin and development of the Organisation of African Unity (OAU/African Union (AU) and economic regional groupings in Africa (OAU/AU, EAC, SADC & ECOWAS, Arab Maghreb Union)",Origin and Development of the OAU/AU and Regional Groupings,15,Research,Kuwaongoza Wanafunzi,Students accurately describe the origin and development of the OAU/AU and major African regional economic groupings.,map of African regional blocs|OAU/AU charter excerpts|charts of founding dates,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","African states formed continental and regional organisations after independence to promote unity, peace and economic cooperation.","The Organisation of African Unity (OAU) was founded on 25 May 1963 in Addis Ababa, Ethiopia, to promote African unity and support the remaining liberation struggles; it was transformed into the African Union (AU) in 2002 with a stronger mandate on peace, governance and development. Regional economic groupings followed, including the East African Community (EAC, founded 1967, revived in 2000), the Economic Community of West African States (ECOWAS, 1975), the Southern African Development Community (SADC, formed 1980 as SADCC and renamed in 1992), and the Arab Maghreb Union for North African states.",The founding of the OAU on 25 May 1963 in Addis Ababa is commemorated annually across Africa as Africa Day.,"Tanzania's membership in the EAC allows students' families to trade, travel and study more easily across East African borders today.","When and where was the OAU founded::25 May 1963, in Addis Ababa, Ethiopia||What organisation replaced the OAU in 2002::The African Union (AU)||Name one regional economic grouping in Africa besides the EAC::ECOWAS (or SADC, Arab Maghreb Union)",
2023-JSS019-Kidato IV,Demonstrate mastery of the history of Africa's participation in regional and international affairs,Demonstrate an understanding of the regional integration in Africa,Assess the performance of continental and regional integration efforts in Africa,Performance of Continental and Regional Integration,15,Debate,Kuwaongoza Wanafunzi,"Students assess, with evidence, the successes and shortcomings of continental and regional integration efforts in Africa.",reports on AU peacekeeping|charts on AfCFTA|newspaper articles,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Continental and regional integration efforts in Africa have achieved some successes, but also continue to face significant challenges.","Successes include the African Union's peacekeeping missions in conflict areas, the launch of the African Continental Free Trade Area (AfCFTA), which began trading in 2021 to boost intra-African commerce, and improved regional cooperation on health, security and infrastructure through bodies like the EAC and SADC. Challenges include weak enforcement of agreements, overlapping memberships in multiple regional blocs, dependence on external funding, and conflicting national interests that slow decision-making.","The African Continental Free Trade Area (AfCFTA), which began trading operations in January 2021, is one of the most significant recent achievements in African economic integration.",Regional integration efforts like the EAC Common Market make it easier for Tanzanian traders and students to work and study in neighbouring East African countries.,"What does AfCFTA stand for::The African Continental Free Trade Area||In what year did AfCFTA begin trading::2021||Name one challenge facing African regional integration::Weak enforcement of agreements (or overlapping memberships, funding dependency)",
2023-JSS019-Kidato IV,Demonstrate mastery of the history of Africa's participation in regional and international affairs,Demonstrate an understanding of the history of Africa's participation in the United Nations Organisation,Appraise African participation in the United Nations and its agencies,Africa's Participation in the United Nations,15,Presentation,Kuwaongoza Wanafunzi,Students appraise the extent and impact of African countries' participation in the United Nations and its specialised agencies.,UN Charter excerpts|charts of UN agencies|maps of African UN member states,"TET(2023), HISTORY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Since gaining independence, African countries have actively participated in the United Nations (UN) and its specialised agencies to promote development, peace and cooperation.","Tanganyika joined the United Nations in December 1961, shortly after independence, and African states have since taken active roles in UN peacekeeping missions, General Assembly debates and agencies such as UNICEF (children), UNDP (development), WHO (health), UNESCO (education, science and culture), UNCHR (human rights and refugees) and FAO (food and agriculture). This participation has helped African countries access development funding, technical support and a platform to advocate for African interests globally.","Tanzania has contributed troops to several UN peacekeeping missions in Africa, reflecting its active participation in the United Nations system.",UN agencies such as UNICEF and WHO continue to support health and education programmes that directly benefit Tanzanian communities today.,In what year did Tanganyika join the United Nations::1961||Which UN agency focuses on children's welfare::UNICEF||Name one way African countries benefit from UN participation::Access to development funding and technical support,
